index,onset,duration,trial_type,choice_RT,partner_RT,points
0,4.783929192459254,0.4445416383405245,partner-non_social_choice-star,0.4445416383405245,n/a,n/a
1,10.033115975763394,1.5,partner-non_social_feedback-informative,n/a,n/a,67
2,14.26590421468427,1.2976334708473587,partner-non_social_feedback-partner,n/a,1.2976334708473587,n/a
3,19.01547443034633,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,23.28339619039707,0.9038522792561707,partner-social_choice-star,0.9038522792561707,n/a,n/a
1,27.532370869965234,1.5,partner-social_feedback-informative,n/a,n/a,64
2,30.765535044473836,1.0476436189146625,partner-social_feedback-partner,n/a,1.0476436189146625,n/a
3,35.51555835760064,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,39.78309394257303,0.45489595763228863,partner-non_social_choice-pentagon,0.45489595763228863,n/a,n/a
1,45.032052897208814,1.5,partner-non_social_feedback-informative,n/a,n/a,74
2,49.265068233406055,1.1478483721593875,partner-non_social_feedback-partner,n/a,1.1478483721593875,n/a
3,55.015238922059325,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,59.282812173730235,0.4099292341479668,partner-social_choice-pentagon,0.4099292341479668,n/a,n/a
1,66.53184646176214,1.5,partner-social_feedback-informative,n/a,n/a,74
2,72.76471771369688,0.9878998475414846,partner-social_feedback-partner,n/a,0.9878998475414846,n/a
3,78.51432376757657,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,82.78225576711884,3.0,partner-social_choice-na_lapse,1.341232125231727,n/a,n/a
1,88.03150252458272,1.5,partner-social_feedback-informative_lapse,n/a,n/a,0
2,91.26464804859097,3.0,partner-social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_lapse,n/a,n/a,n/a
0,104.78191859531762,0.40714555545764597,partner-non_social_choice-star,0.40714555545764597,n/a,n/a
1,110.03064460153928,1.5,partner-non_social_feedback-informative,n/a,n/a,64
2,116.263858145021,0.7508007830283532,partner-non_social_feedback-partner,n/a,0.7508007830283532,n/a
3,122.0140251767134,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,126.28167632165332,0.6101354136080772,partner-social_choice-star,0.6101354136080772,n/a,n/a
1,131.5313410697563,1.5,partner-social_feedback-informative,n/a,n/a,66
2,135.76363964160282,1.063168149626108,partner-social_feedback-partner,n/a,1.063168149626108,n/a
3,140.51293558519228,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,144.7809933841918,3.0,partner-social_choice-na_lapse,0.0,n/a,n/a
1,0.0,1.5,partner-social_feedback-informative_lapse,n/a,n/a,0
2,0.0,3.0,partner-social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_lapse,n/a,n/a,n/a
0,166.7808109018397,3.0,partner-social_choice-na_lapse,0.0,n/a,n/a
1,0.0,1.5,partner-social_feedback-informative_lapse,n/a,n/a,0
2,0.0,3.0,partner-social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_lapse,n/a,n/a,n/a
0,188.0471535861443,0.512836481550039,partner-social_choice-star,0.512836481550039,n/a,n/a
1,195.29611473495606,1.5,partner-social_feedback-informative,n/a,n/a,67
2,201.52878009998858,1.402912623134398,partner-social_feedback-partner,n/a,1.402912623134398,n/a
3,206.27848013776475,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,210.5482980320794,2.0481574219302274,partner-social_choice-star,2.0481574219302274,n/a,n/a
1,217.79558941251253,1.5,partner-social_feedback-informative,n/a,n/a,66
2,224.02884245117275,1.3896082334285893,partner-social_feedback-partner,n/a,1.3896082334285893,n/a
3,229.77852347275257,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,235.54622380381716,0.34300026586060994,partner-social_choice-star,0.34300026586060994,n/a,n/a
1,240.79602934491777,1.5,partner-social_feedback-informative,n/a,n/a,67
2,247.02836741194278,1.294787258123506,partner-social_feedback-partner,n/a,1.294787258123506,n/a
3,251.77821372815833,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,256.7958417428199,0.40710240331827663,partner-social_choice-pentagon,0.40710240331827663,n/a,n/a
1,264.04477948708154,1.5,partner-social_feedback-informative,n/a,n/a,67
2,267.27799412765216,2.21375777972753,partner-social_feedback-partner,n/a,2.21375777972753,n/a
3,273.0278291072882,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,278.79557332188506,3.0,partner-non_social_choice-na_lapse,0.38506738499199855,n/a,n/a
1,283.045530626865,1.5,partner-non_social_feedback-informative_lapse,n/a,n/a,0
2,286.2775165285493,3.0,partner-non_social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_lapse,n/a,n/a,n/a
0,n/a,n/a,partner-social_choice-pentagon_catch,0.34306828533499356,n/a,n/a
1,303.54394551713267,1.5,partner-social_feedback-informative_catch,n/a,n/a,69
2,0.0,0.0,partner-social_feedback-partner_catch,n/a,0.0,n/a
3,0.0,1.5,partner-social_feedback-affective_catch,n/a,n/a,n/a
0,314.0448094741623,0.7343594522026251,partner-social_choice-pentagon,0.7343594522026251,n/a,n/a
1,319.29382840295784,1.5,partner-social_feedback-informative,n/a,n/a,70
2,323.5271161827468,1.387139053381361,partner-social_feedback-partner,n/a,1.387139053381361,n/a
3,328.27640956646337,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,333.2943166072473,3.0,partner-non_social_choice-na_lapse,0.3455155236160863,n/a,n/a
1,337.5443997116854,1.5,partner-non_social_feedback-informative_lapse,n/a,n/a,0
2,340.7765267720624,3.0,partner-non_social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_lapse,n/a,n/a,n/a
0,352.7943793241275,0.5871594592235851,partner-non_social_choice-star,0.5871594592235851,n/a,n/a
1,357.04331414282115,1.5,partner-non_social_feedback-informative,n/a,n/a,58
2,360.27638872178613,1.0410515810690413,partner-non_social_feedback-partner,n/a,1.0410515810690413,n/a
3,368.0261117984164,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,372.2937512410808,1.1066084575995774,partner-social_choice-star,1.1066084575995774,n/a,n/a
1,376.5439027306893,1.5,partner-social_feedback-informative,n/a,n/a,53
2,379.7758202472032,1.3502977314774398,partner-social_feedback-partner,n/a,1.3502977314774398,n/a
3,385.52546323638853,1.5,partner-social_feedback-affective,n/a,n/a,n/a
0,389.79342924566754,0.6095477399794618,partner-non_social_choice-star,0.6095477399794618,n/a,n/a
1,394.0433836250795,1.5,partner-non_social_feedback-informative,n/a,n/a,52
2,397.27563904478757,2.6693854952491165,partner-non_social_feedback-partner,n/a,2.6693854952491165,n/a
3,402.02549304062086,1.5,partner-non_social_feedback-affective,n/a,n/a,n/a
0,406.29313358037325,3.0,partner-non_social_choice-na_lapse,0.0,n/a,n/a
1,0.0,1.5,partner-non_social_feedback-informative_lapse,n/a,n/a,0
2,0.0,3.0,partner-non_social_feedback-partner_lapse,n/a,0.0,n/a
3,0.0,1.5,partner-non_social_feedback-affective_lapse,n/a,n/a,n/a
